Drone ID,Start Time,End Time,Total Time (minutes),Total Distance (km),Number of Alerts,Cities Passed
12963,2023-10-08 07:52:00,2023-10-08 07:52:00,0.0,0.0,1,['תקומה']
13191,2023-10-09 11:27:00,2023-10-09 11:27:00,0.0,0.0,1,['גברעם']
13507,2023-10-10 13:10:00,2023-10-10 13:10:00,0.0,1.3114734045654204,2,"['מטווח ניר עם', 'מפלסים']"
13509,2023-10-10 13:12:00,2023-10-10 13:12:00,0.0,5.04307702273912,3,"['שדרות', 'איבים', 'ניר עם']"
13775,2023-10-11 13:49:00,2023-10-11 13:49:00,0.0,0.0,1,['ניר עוז']
13897,2023-10-11 17:52:00,2023-10-11 17:52:00,0.0,0.0,1,['אביבים']
13917,2023-10-11 18:19:00,2023-10-11 18:19:00,0.0,52.284552377396125,3,"['בית שאן', 'טבריה', 'צפת']"
13930,2023-10-11 18:20:00,2023-10-11 18:21:00,1.0,5757.3851369805125,269,"['בית הלל', 'יראון', 'יפתח', 'יערה', 'יחיעם', 'חניתה', 'חורפיש', 'זרעית', 'הגושרים', 'כברי', 'דפנה', 'דישון', ""דוב''ב"", 'געתון', 'גורנות הגליל', 'שתולה', 'שניר', 'שמיר', 'שלומי', 'דלתון', 'שומרה', 'כפר סאלד', 'להבות הבשן', 'מזרעה', 'שבי ציון', 'ערב אל עראמשה', 'עמיר', 'עלמה', 'עין יעקב', ""ע'ג'ר"", 'עבדון', 'כרם בן זמרה', 'סאסא', 'נווה זיו', 'נאות מרדכי', 'מתת', 'מצובה', 'מנות', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'לימן', 'נטועה', 'שדה נחמיה', 'כפר בלום', 'רמות נפתלי', 'עברון', 'סער', 'נהריה', 'משגב עם', 'מרגליות', 'מעלות תרשיחא', 'מעיליא', 'מעונה', 'קריית שמונה', 'מנרה', 'כפר יובל', 'כפר ורדים', 'כפר גלעדי', 'חוסן', 'הילה', 'גשר הזיו', 'בן עמי', 'שאר ישוב', 'מטולה', 'תל חי', 'מעיין ברוך', 'ריחאנייה', 'אביבים', 'ראש הנקרה', 'קיבוץ דן', 'צוריאל', 'צבעון', 'פקיעין', 'גורן', 'גונן', 'ברעם', 'פסוטה', 'אבן מנחם', 'בית ספר שדה מירון', 'אלקוש', 'אילון', 'אזור תעשייה רמת דלתון', 'אזור תעשייה אכזיב מילואות', 'אדמית', 'בצת', 'אבירים', 'בוסתן הגליל', 'אמנון', 'אליפלט', 'עמוקה', 'פרוד', 'עמקה', 'ביריה', 'אזור תעשייה חצור הגלילית', ""בית ג'אן"", 'כרמיאל', ""ג'דידה מכר"", 'הר-חלוץ', 'חצור הגלילית', 'חרשים', 'כורזים ורד הגליל', 'כפר הנשיא', 'כפר מסריק', 'כרכום', 'עין כמונים', 'בית העמק', 'משמר הירדן', 'צפת', 'מירון', 'לבון', 'ראמה', 'ראש פינה', 'שבי ציון', 'שומרת', ""שייח' דנון"", 'אבו סנאן', 'אור הגנוז', 'איילת השחר', 'אשרת', 'בר יוחאי', ""ג'וליס"", 'גדות', 'חולתה', 'יסוד המעלה', 'ירכא', 'כליל', 'לוחמי הגטאות', 'מזרעה', 'מרכז אזורי מרום גליל', ""מג'דל כרום"", 'עין קנייא', 'מנחת מחניים', 'חמת גדר', 'קדמת צבי', 'קצרין', 'קשת', 'רמות', 'רמת מגשימים', 'תל קציר', 'אודם', 'אורטל', 'אל רום', 'בוקעתא', ""מג'דל שמס"", 'מסעדה', 'מרום גולן', ""נווה אטי''ב"", 'נמרוד', 'עין זיוון', 'צורית גילון', 'קלע', 'אלמגור', 'מחניים', 'אזור תעשייה בני יהודה', 'נטור', 'קדיתא', 'רגבה', 'שדה אליעזר', 'שפר', 'אבני איתן', 'אלוני הבשן', 'אלי עד', 'אניעם', 'אפיק', 'בני יהודה וגבעת יואב', 'גשור', 'האון', 'חספין', 'יונתן', 'כפר חרוב', 'מבוא חמה', 'מיצר', 'נאות גולן', 'נוב', 'עין גב', 'עמיעד', 'מתת', 'עין המפרץ', 'גורן', 'גורנות הגליל', 'געתון', ""דוב''ב"", 'דישון', 'דלתון', 'דפנה', 'הגושרים', 'זרעית', 'חורפיש', 'חניתה', 'יחיעם', 'יערה', 'יפתח', 'יראון', 'כברי', 'כפר בלום', 'כפר סאלד', 'כרם בן זמרה', 'גונן', 'להבות הבשן', 'ברעם', 'בית ספר שדה מירון', 'מעונה', 'מעיין ברוך', 'מעיליא', 'מעלות תרשיחא', 'מרגליות', 'משגב עם', 'נהריה', 'סער', 'עברון', 'קריית שמונה', 'תל חי', 'אביבים', 'אבירים', 'אבן מנחם', 'אדמית', 'אזור תעשייה אכזיב מילואות', 'אזור תעשייה רמת דלתון', 'אילון', 'אלקוש', 'בצת', 'לימן', 'מלכיה', 'מנות', 'מטולה', 'מנרה', 'צבעון', 'צוריאל', 'ראש הנקרה', 'ריחאנייה', 'רמות נפתלי', 'שאר ישוב', 'שדה נחמיה', 'שומרה', 'שלומי', 'שמיר', 'שניר', 'שתולה', 'נחף', 'נס עמים', 'נתיב השיירה', ""סאג'ור"", 'עין אל אסד', 'כפר יובל', 'כפר ורדים', 'כפר גלעדי', 'חוסן', 'מצובה', 'מרכז אזורי מבואות חרמון', 'שעל', 'נאות מרדכי', 'נווה זיו', 'נטועה', 'סאסא', ""ע'ג'ר"", 'עבדון', 'עכו', 'עין יעקב', 'עמיר', 'ערב אל עראמשה', 'פסוטה', 'פקיעין', 'בית הלל', 'בן עמי', 'גשר הזיו', 'קיבוץ דן', 'הילה', 'עלמה', 'המכללה האקדמית כנרת']"
13933,2023-10-11 18:24:00,2023-10-11 18:24:00,0.0,87.88527361144125,10,"['טבריה', 'כפר נהר הירדן', 'ארבל', 'גינוסר', 'ואדי אל חמאם', 'לבנים', 'מגדל', 'אילניה', ""מע'אר"", 'מנחמיה']"
13935,2023-10-11 18:26:00,2023-10-11 18:26:00,0.0,116.24413446557364,5,"['בית שאן', 'דישון', 'עלמה', 'טבריה', 'צפת']"
13937,2023-10-11 18:29:00,2023-10-11 18:29:00,0.0,69.25988979487686,5,"['בית שאן', 'טבריה', 'צפת', 'דישון', 'עלמה']"
13963,2023-10-11 18:35:00,2023-10-11 18:35:00,0.0,4061.634149447817,189,"['כפר תקווה', 'ריחאנייה', 'רמות נפתלי', 'שאר ישוב', 'שדה נחמיה', 'שומרה', 'שלומי', 'שמיר', 'שניר', 'שתולה', 'געתון', ""דוב''ב"", 'דישון', 'דלתון', 'דפנה', 'הגושרים', 'גשר הזיו', 'הילה', 'חוסן', 'כפר גלעדי', 'ראש הנקרה', 'קיבוץ דן', 'צוריאל', 'צבעון', 'תל חי', 'אביבים', 'אבירים', 'אבן מנחם', 'אדמית', 'אזור תעשייה אכזיב מילואות', 'אזור תעשייה רמת דלתון', 'אילון', 'אלקוש', 'כפר ורדים', 'בית ספר שדה מירון', 'ברעם', 'גונן', 'גורן', 'גורנות הגליל', 'עלמה', 'עמיר', 'ערב אל עראמשה', 'פסוטה', 'פקיעין', 'בצת', 'כפר יובל', 'כפר בלום', 'כפר סאלד', 'כברי', 'ארבל', 'המכללה האקדמית כנרת', 'גינוסר', 'טבריה', 'כפר נהר הירדן', 'לבנים', 'מגדל', 'ואדי אל חמאם', 'יראון', 'רכסים', 'כפר ביאליק', 'כפר המכבי', 'קריית אתא', 'קריית ביאליק', 'קריית ים', 'יגור', 'כפר חסידים', 'קריית מוצקין', 'רמת יוחנן', 'אושה', 'קריית שמונה', 'יפתח', 'יחיעם', 'כרם בן זמרה', 'להבות הבשן', 'לימן', 'מלכיה', 'מנות', 'מצובה', 'מרכז אזורי מבואות חרמון', 'מתת', 'נאות מרדכי', 'יערה', 'נווה זיו', 'סאסא', ""ע'ג'ר"", 'עבדון', 'עין יעקב', 'בית הלל', 'בן עמי', 'זרעית', 'חורפיש', 'חניתה', 'נטועה', 'נשר', 'עברון', 'נהריה', 'צורית גילון', 'צפת', 'ראמה', 'ראש פינה', 'שבי ציון', 'שומרת', ""שייח' דנון"", 'אבו סנאן', 'אור הגנוז', 'איילת השחר', 'אשרת', 'בר יוחאי', ""ג'וליס"", 'גדות', 'עין כמונים', 'עמוקה', 'עמקה', 'פרוד', 'קדיתא', 'עמיעד', 'עכו', 'עין המפרץ', 'עין אל אסד', 'שער העמקים', 'אילניה', 'הסוללים', 'טמרה בגלבוע', 'כפר ברוך', 'כפר יהושע', 'נהלל', 'נין', 'רמת דוד', 'רגבה', 'אורנים', 'כרכום', 'כרמיאל', 'לבון', ""מג'דל כרום"", 'מחניים', 'נחף', 'נס עמים', 'נתיב השיירה', ""סאג'ור"", 'אלון הגליל', 'שדה אליעזר', 'שפר', 'מנחת מחניים', 'בית העמק', 'חולתה', 'יסוד המעלה', 'ירכא', 'שפרעם', 'דיר חנא', 'טורעאן', 'חנתון', 'כפר מנדא', ""בית ג'אן"", ""מע'אר"", 'ביר אלמכסור', 'מטולה', 'מנרה', 'מעונה', 'מעיין ברוך', 'מעיליא', 'מעלות תרשיחא', 'מרגליות', 'משגב עם', 'אעבלין', 'סער', 'ביריה', 'אמנון', 'אזור תעשייה שער נעמן', 'אפק', ""ג'דידה מכר"", 'הר-חלוץ', 'חצור הגלילית', 'חרשים', 'יסעור', 'כורזים ורד הגליל', 'כפר הנשיא', 'בוסתן הגליל', 'כפר מסריק', 'לוחמי הגטאות', 'מזרעה', 'מירון', 'מרכז אזורי מרום גליל', 'משמר הירדן', 'אזור תעשייה בר-לב', 'אזור תעשייה חצור הגלילית', 'אחיהוד', 'אליפלט', 'כליל', 'איבטין']"
14018,2023-10-11 23:43:00,2023-10-11 23:43:00,0.0,0.0,1,['נחל עוז']
14233,2023-10-13 12:48:00,2023-10-13 12:48:00,0.0,0.0,1,['נחל עוז']
14253,2023-10-13 13:09:00,2023-10-13 13:09:00,0.0,0.0,1,['נחל עוז']
14299,2023-10-13 16:05:00,2023-10-13 16:05:00,0.0,0.0,1,['בני נצרים']
14377,2023-10-14 01:10:00,2023-10-14 01:11:00,1.0,2.884091085738803,2,"['אעבלין', 'שפרעם']"
14426,2023-10-14 12:51:00,2023-10-14 12:51:00,0.0,0.0,1,['גורנות הגליל']
15427,2023-10-23 14:40:00,2023-10-23 14:40:00,0.0,0.0,1,['ניר עוז']
15429,2023-10-23 14:47:00,2023-10-23 14:47:00,0.0,0.0,1,['עין הבשור']
16714,2023-11-08 19:23:00,2023-11-08 19:23:00,0.0,7.657037385058114,3,"['אביבים', 'ברעם', 'יראון']"
16800,2023-11-10 15:10:00,2023-11-10 15:10:00,0.0,81.22412195906195,13,"['דישון', 'יפתח', 'מרכז אזורי מבואות חרמון', 'מלכיה', 'רמות נפתלי', 'גונן', 'כפר בלום', 'כפר סאלד', 'להבות הבשן', 'נאות מרדכי', 'עמיר', 'שדה נחמיה', 'שמיר']"
16813,2023-11-11 09:35:00,2023-11-11 09:35:00,0.0,41.489475638029134,10,"['בית הלל', 'כפר גלעדי', 'כפר יובל', 'מטולה', 'מנרה', 'מעיין ברוך', 'משגב עם', 'קריית שמונה', 'תל חי', 'מרגליות']"
16841,2023-11-11 15:11:00,2023-11-11 15:11:00,0.0,0.0,1,['כברי']
16845,2023-11-11 19:07:00,2023-11-11 19:07:00,0.0,13.450508531425212,6,"['גבים', 'מכללת ספיר', 'מטווח ניר עם', 'שדרות', 'איבים', 'ניר עם']"
16856,2023-11-11 23:21:00,2023-11-11 23:21:00,0.0,7.086717364947738,5,"['גבים', 'מכללת ספיר', 'שדרות', 'איבים', 'ניר עם']"
16858,2023-11-11 23:23:00,2023-11-11 23:23:00,0.0,3.575301189689661,2,"['אור הנר', 'ארז']"
16916,2023-11-13 12:48:00,2023-11-13 12:48:00,0.0,35.54798869905737,8,"['אביבים', 'אזור תעשייה רמת דלתון', 'ברעם', 'דלתון', 'יראון', 'כרם בן זמרה', 'עלמה', 'ריחאנייה']"
16956,2023-11-13 22:34:00,2023-11-13 22:34:00,0.0,26.37745701720537,6,"['אביבים', 'ברעם', ""דוב''ב"", 'יראון', 'מתת', 'סאסא']"
