city,count
אבו גוש,4
אבו נוור,5
אבו סנאן,42 
אבו קרינאת והפזורה,16 
אבו קרינאת,23 
אבו תלול,7 
אבו-גוש,15 
אבו-תלול והפזורה,66 
אבטליון,8 
אביאל,10 
אביבים,145 
אביגדור,36 
אביחיל,10 
אביעזר,17 
אבירים,71 
אבן יהודה,16 
אבן מנחם,113 
אבן ספיר,20 
אבן שמואל,11 
אבני איתן,14 
אבני חפץ,7 
אבנת,5 
אבשלום,22 
אדורה,10 
אדוריים,9 
אדמית,145 
אדרת,15 
אודים,11 
אודם,29 
אוהד,28 
אום אל פחם,8 
אום אל קוטוף,4 
אום אלג'נם,5 
אום בטין והפזורה,25 
אום בטין,32 
אופקים,55 
אור הגנוז,59 
אור הנר,101 
אור יהודה,60 
אור עקיבא,10 
אורה,24 
אורון תעשייה ומסחר,8 
אורות,52 
אורטל,31 
אורים,62 
אורנים,30 
אורנית,15 
אושה,25 
אזור תעשייה אכזיב מילואות,59 
אזור תעשייה אלון התבור,11 
אזור תעשייה אפק ולב הארץ,18 
אזור תעשייה אריאל,6 
אזור תעשייה באר טוביה,39 
אזור תעשייה בני יהודה,8 
אזור תעשייה בר-לב,27 
אזור תעשייה בראון,6 
אזור תעשייה ברוש,9 
אזור תעשייה ברקן,6 
אזור תעשייה גדרה,7 
אזור תעשייה דימונה,12 
אזור תעשייה הדרומי אשקלון,300 
אזור תעשייה הר טוב - צרעה,12 
אזור תעשייה חבל מודיעין,15 
אזור תעשייה חצור הגלילית,47 
אזור תעשייה טירה,11 
אזור תעשייה טמרה,29 
אזור תעשייה יקנעם עילית,23 
אזור תעשייה כנות,56 
אזור תעשייה כפר יונה,14 
אזור תעשייה כרמיאל,30 
אזור תעשייה מבוא כרמל,14 
אזור תעשייה מבואות הגלבוע,6 
אזור תעשייה מישור אדומים,5 
אזור תעשייה מיתרים,11 
אזור תעשייה נ.ע.מ,28 
אזור תעשייה ניר עציון,14 
אזור תעשייה נשר - רמלה,40 
אזור תעשייה עד הלום,52 
אזור תעשייה עידן הנגב,9 
אזור תעשייה עמק חפר,7 
אזור תעשייה צ.ח.ר,38 
אזור תעשייה צבאים,5 
אזור תעשייה ציפורית,12 
אזור תעשייה צפוני אשקלון,102 
אזור תעשייה קדמת גליל,13 
אזור תעשייה קיסריה,11 
אזור תעשייה קריית ביאליק,72 
אזור תעשייה קריית גת,22 
אזור תעשייה רבדים,6 
אזור תעשייה רגבים,10 
אזור תעשייה רגמ,8 
אזור תעשייה רותם,11 
אזור תעשייה רמת דלתון,111 
אזור תעשייה שחורת,16 
אזור תעשייה שחק,5 
אזור תעשייה שער בנימין,3 
אזור תעשייה שער נעמן,77 
אזור תעשייה תימורים,24 
אזור תעשייה תרדיון,20 
אחווה,34 
אחוזם,5 
אחוזת ברק,10 
אחיה,34 
אחיהוד,32 
אחיטוב,7 
אחיסמך,25 
אחיעזר,47 
איבטין,18 
איבים,301 
איזור תעשייה מילואות צפון,134 
אייל,119 
איילת השחר,64 
איירפורט סיטי,11 
אילון,125 
אילות,19 
אילניה,18 
אילת,29 
אירוס,61 
איתמר,2 
איתן,30 
אכסאל,13 
אל מסק,5 
אל סייד והפזורה,23 
אל סייד,30 
אל עזי,25 
אל עמארני,5 
אל עריאן,8 
אל פורעה והפזורה,26 
אל פורעה,32 
אל רום,29 
אל-ח'וואלד מערב,2 
אלומה,12 
אלומות,7 
אלון הגליל,20 
אלון מורה,2 
אלון שבות,9 
אלון,44 
אלוני אבא,17 
אלוני הבשן,11 
אלוני יצחק,9 
אלונים,20 
אלי עד,12 
אליאב,10 
אליכין,9 
אליפלט,41 
אליקים,21 
אלישיב,8 
אלישמע,20 
אלמגור,9 
אלמוג,4 
אלעד,20 
אלעזר,91 
אלפי מנשה,15 
אלקוש,75 
אלקנה,10 
אמונים,51 
אמירים,19 
אמנון,17 
אמץ,10 
אמציה,8 
אניעם,8 
אעבלין,31 
אפיקים,7 
אפק,59 
אפרת,15 
ארבל,12 
ארגמן,2 
ארז,105 
אריאל,8 
ארסוף,14 
אשבול,5 
אשבל,18 
אשדוד - אזור תעשייה צפוני ונמל,94 
אשדוד,168 
אשדות יעקב,7 
אשחר,23 
אשכולות,10 
אשל הנשיא,23 
אשלים,8 
אשקלון,397 
אשרת,32 
אשתאול,12 
אתר דודאים,51 
אתר ההנצחה גולני,17 
באקה אל גרבייה,15 
באר גנים,63 
באר טוביה,72 
באר יעקב,63 
